Realization1,Realization2,Realization3,Realization4,Realization5,Realization6,Realization7,Realization8,Realization9,Realization10
6490.7,14402,10816,6664,6315.7,11084,8678.8,10157,8849.3,11671
6337.5,13232,10276,6477.1,6164,10803,8596.5,9666.5,8765.3,11344
6146.8,12744,9925.1,6365.3,6018.2,10434,8430.8,8925.8,8596.4,10976
6001.7,12091,9708.8,6888.5,5837.3,9889.7,8348.5,8463,8512.4,10748
5855.7,11724,9493.4,7852.8,5657.4,9218.7,8224.5,8125.5,8386,10525
5782.6,13100,8977.5,8652.9,5512.7,8789.6,8018.2,7959.8,8175.6,10169
5747.1,12533,9190.9,8570.8,5369,8532.3,7458.7,7799.1,7605.2,9858.2
5747.1,11026,8893.3,8488.7,5260.4,8171.1,7695.8,7678.8,7846.9,9553.8
5368.1,6727.4,10645,5258.9,6758,8338.9,9964.7,7953.3,5540.1,10738
5259.2,6465.8,10374,5223.8,6680.6,8755.2,9175.1,7872.7,5452,10465
5224,6167.6,10645,5118.5,6367.9,9134.5,8712.1,7629.9,5363.9,10738
5151.4,5840.8,11145,5014.3,6179.1,9351.6,8297.8,7305.5,5256.3,11242
5115.1,5769.8,10693,4979.2,6104.8,9307.6,7764.1,6950.6,5151.5,10786
5115.1,5734.2,10184,4944.1,6104.8,9177.5,7487.3,6757.8,5050.7,10273
5115.1,5876.4,9756.2,4944.1,5622.9,8714.2,7210.4,6603.7,4972.4,9841.6
5006.2,5805.3,9028.1,4909.1,5438.2,8171.8,7091.9,6448.7,4884.3,9107.2
4897.3,5698.7,8859.6,4874,5438.2,7683.5,7091.9,6255.9,4796.2,8937.2
